Event,Station_sizes,Start Date/Time,End Date/Time,Start Latitude,Start Longitude,End Latitude,End Longitude,OMF_pol,OMF_tot,CCHO_µg_per_m3,SS_µg_per_m3,OC_µg_per_m3,OM_µg_per_m3,OMF_FAA,OMF_WSOC,OMF_FFA,FAA_µg_per_m3,FFA_µg_per_m3,PG_µg_per_m3,OMF_PG,FFA_PG_µg_per_m3,OMF_FFA_PG,OMF_CAA,CAA_µg_per_m3,WIOC_µg_per_m3
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00856353,0.22371132,0.00346267,0.40088842,0.05776413,0.115528261185828,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.00497985,0.14308625,0.00303268,0.60595729,0.05059095,0.10118189440684,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00316816,0.09587208,0.00765825,2.40959389,0.12775448,0.255508965146172,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.00152334,0.04843657,0.00045911,0.30092525,0.00765886,0.0153177244103538,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.00249561,0.07704075,0.00236851,0.94670303,0.03951134,0.0790226740777195,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.17460107,,,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.00461408,0.13394205,0.00231604,0.49963404,0.03863599,0.0772719759001155,,,,,,,,,,,,
PI-ICE_0.05_1.2,PI-ICE_0.05_1.2,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.00028669,0.00947721,0.00012837,0.44763855,0.00214148,0.00428295565143731,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00286283212874397,0.0874159199381777,0.001150971283,0.40088841881738,0.0192004390001569,0.0384008780003139,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.00430500528823761,0.488349276428747,0.002602604155,0.601950463900686,0.0434164979245903,0.0868329958491806,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00301708313692514,0.0917069438855022,0.0071296407547,2.3559609441359,0.118936270978752,0.237872541957505,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.000962468586543925,0.0311416564727452,0.00026193607307,0.271888320810193,0.00436960301894968,0.00873920603789936,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.00297365928370352,0.0905029120168539,0.00228166983583,0.76501196341065,0.0380626894418807,0.0761253788837615,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.150744420124142,,,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.0026017359778546,0.0800625773947294,0.00115971785078,0.444587990852663,0.0193463487579425,0.0386926975158849,,,,,,,,,,,,
PI-ICE_0.14_1.2,PI-ICE_0.14_1.2,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.000109789824653449,0.00365004607340438,0.00004357222977,0.396825900032669,0.000726869516343708,0.00145373903268742,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00129553,0.02882233,0.0035089,2.70495667,0.04013846,0.0802769116250046,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.00065939,0.0148711,0.00112164,1.69989263,0.01283044,0.025660884434303,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00061925,0.01397783,0.00365948,5.90590027,0.04186097,0.0837219433185913,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.00138399,0.03073257,0.00044103,0.31822199,0.00504493,0.010089868857296,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.000040711,0.00093056,0.000032687,0.80286967,0.00037391,0.000747811690026552,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.25030699,,,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.00047536,0.01076338,0.00033192,0.69791778,0.00379684,0.00759368876926476,,,,,,,,,,,,
PI-ICE_1.2_10,PI-ICE_1.2_10,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.00018678,0.00425586,0.0001075,0.57542336,0.00122969,0.00245938619964615,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00223963,0.05930524,0.00697157,3.10584509,0.09790259,0.195805172810832,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.0017984,0.0521409,0.00415431,2.30584992,0.06342139,0.126842778841143,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00135919,0.03919604,0.01131773,8.31549416,0.16961545,0.339230908464763,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.00145172,0.03941882,0.00090014,0.61914724,0.0127038,0.0254075932676498,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.00137057,0.04360608,0.0024012,1.74957271,0.03988524,0.079770485767746,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.42490806,,,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.00220626,0.06617632,0.00264796,1.19755182,0.04243283,0.0848656646693803,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.0002305,0.00654721,0.00023587,1.02306192,0.00337117,0.00674234185108346,,,,,,,,,,,,
PASCAL_0.05_1.2,PASCAL_0.05_1.2,2017-05-24T20:49,2017-05-26T16:34,54.939725,6.886633,61.889917,3.22857,0.00944394,0.53300497,0.00325951,0.34188393,0.19510468,0.390209356725665,,,,,,,,,,,,
PASCAL_0.05_1.2,PASCAL_0.05_1.2,2017-05-26T19:34,2017-05-29T11:33,62.379708,3.415684,72.69095,5.644328,0.00259058,0.18748381,0.0025488,0.98132348,0.1132176,0.226435196416552,,,,,,,,,,,,
PASCAL_0.05_1.2,PASCAL_0.05_1.2,2017-05-29T12:46,2017-06-01T08:28,72.691753,5.644524,80.318428,7.904032,0.00218256,0.33405802,0.00104597,0.47819212,0.11993831,0.239876627646773,,,,,,,,,,,,
PASCAL_0.14_1.2,PASCAL_0.14_1.2,2017-05-24T20:49,2017-05-26T16:34,54.939725,6.886633,61.889917,3.22857,0.00751073495063718,0.48480580602134,0.0025872315574527,0.341883925320904,0.16086,0.321718128655398,,,,,,,,,,,,
PASCAL_0.14_1.2,PASCAL_0.14_1.2,2017-05-26T19:34,2017-05-29T11:33,62.379708,3.415684,72.69095,5.644328,0.00307143997946563,0.206929327616722,0.00209071229075351,0.678603784339864,0.08853,0.177062435545147,,,,,,,,,,,,
